time,line color,cell load
729,Coverage Cell,7.789473684210526
729,Coverage Cell,7.684210526315789
727,Coverage Cell,7.649122807017543
727,Coverage Cell,7.578947368421051
725,Coverage Cell,7.5438596491228065
725,Coverage Cell,7.50877192982456
723,Coverage Cell,7.473684210526317
723,Coverage Cell,7.438596491228071
721,Coverage Cell,7.403508771929825
721,Coverage Cell,7.36842105263158
718,Coverage Cell,7.333333333333334
716,Coverage Cell,7.333333333333334
714,Coverage Cell,7.298245614035088
712,Coverage Cell,7.298245614035088
701,Coverage Cell,7.473684210526317
699,Coverage Cell,7.473684210526317
696,Coverage Cell,7.50877192982456
696,Coverage Cell,7.5438596491228065
694,Coverage Cell,7.5438596491228065
692,Coverage Cell,7.578947368421051
685,Coverage Cell,7.578947368421051
679,Coverage Cell,7.684210526315789
679,Coverage Cell,7.719298245614034
676,Coverage Cell,7.719298245614034
676,Coverage Cell,7.614035087719298
683,Coverage Cell,7.50877192982456
685,Coverage Cell,7.50877192982456
688,Coverage Cell,7.473684210526317
692,Coverage Cell,7.473684210526317
694,Coverage Cell,7.438596491228071
694,Coverage Cell,7.403508771929825
699,Coverage Cell,7.333333333333334
701,Coverage Cell,7.333333333333334
703,Coverage Cell,7.298245614035088
705,Coverage Cell,7.298245614035088
710,Coverage Cell,7.228070175438597
712,Coverage Cell,7.228070175438597
714,Coverage Cell,7.192982456140351
716,Coverage Cell,7.228070175438597
721,Coverage Cell,7.228070175438597
721,Coverage Cell,7.2631578947368425
725,Coverage Cell,7.333333333333334
725,Coverage Cell,7.403508771929825
727,Coverage Cell,7.438596491228071
727,Coverage Cell,7.473684210526317
729,Coverage Cell,7.50877192982456
729,Coverage Cell,7.5438596491228065
732,Coverage Cell,7.578947368421051
732,Coverage Cell,7.789473684210526
637,Coverage Cell,8.526315789473685
637,Coverage Cell,8.315789473684209
635,Coverage Cell,8.280701754385964
635,Coverage Cell,8.035087719298247
632,Coverage Cell,8.0
632,Coverage Cell,7.789473684210526
630,Coverage Cell,7.754385964912281
630,Coverage Cell,7.5438596491228065
628,Coverage Cell,7.50877192982456
628,Coverage Cell,7.36842105263158
626,Coverage Cell,7.333333333333334
626,Coverage Cell,7.228070175438597
624,Coverage Cell,7.192982456140351
624,Coverage Cell,7.087719298245614
617,Coverage Cell,6.982456140350877
615,Coverage Cell,7.017543859649122
615,Coverage Cell,7.052631578947368
610,Coverage Cell,7.12280701754386
610,Coverage Cell,7.228070175438597
606,Coverage Cell,7.298245614035088
606,Coverage Cell,7.333333333333334
604,Coverage Cell,7.36842105263158
604,Coverage Cell,7.403508771929825
601,Coverage Cell,7.438596491228071
601,Coverage Cell,7.473684210526317
599,Coverage Cell,7.50877192982456
599,Coverage Cell,7.5438596491228065
597,Coverage Cell,7.578947368421051
597,Coverage Cell,7.614035087719298
595,Coverage Cell,7.649122807017543
595,Coverage Cell,7.684210526315789
593,Coverage Cell,7.684210526315789
590,Coverage Cell,7.719298245614034
588,Coverage Cell,7.719298245614034
586,Coverage Cell,7.754385964912281
586,Coverage Cell,7.789473684210526
573,Coverage Cell,7.789473684210526
566,Coverage Cell,7.894736842105264
566,Coverage Cell,7.9298245614035086
564,Coverage Cell,7.964912280701755
564,Coverage Cell,8.035087719298247
562,Coverage Cell,8.070175438596491
562,Coverage Cell,8.17543859649123
560,Coverage Cell,8.210526315789474
560,Coverage Cell,8.280701754385964
557,Coverage Cell,8.24561403508772
557,Coverage Cell,8.140350877192983
560,Coverage Cell,8.105263157894738
560,Coverage Cell,8.0
562,Coverage Cell,7.964912280701755
562,Coverage Cell,7.894736842105264
564,Coverage Cell,7.859649122807017
564,Coverage Cell,7.824561403508772
573,Coverage Cell,7.684210526315789
579,Coverage Cell,7.684210526315789
582,Coverage Cell,7.719298245614034
584,Coverage Cell,7.719298245614034
586,Coverage Cell,7.684210526315789
586,Coverage Cell,7.649122807017543
595,Coverage Cell,7.50877192982456
595,Coverage Cell,7.473684210526317
599,Coverage Cell,7.403508771929825
599,Coverage Cell,7.36842105263158
601,Coverage Cell,7.333333333333334
601,Coverage Cell,7.298245614035088
604,Coverage Cell,7.2631578947368425
604,Coverage Cell,7.192982456140351
608,Coverage Cell,7.12280701754386
608,Coverage Cell,7.052631578947368
612,Coverage Cell,6.982456140350877
612,Coverage Cell,6.947368421052631
617,Coverage Cell,6.8771929824561395
621,Coverage Cell,6.8771929824561395
621,Coverage Cell,6.912280701754385
624,Coverage Cell,6.947368421052631
624,Coverage Cell,6.982456140350877
626,Coverage Cell,7.017543859649122
626,Coverage Cell,7.12280701754386
628,Coverage Cell,7.157894736842105
628,Coverage Cell,7.2631578947368425
630,Coverage Cell,7.298245614035088
630,Coverage Cell,7.438596491228071
632,Coverage Cell,7.473684210526317
632,Coverage Cell,7.684210526315789
635,Coverage Cell,7.719298245614034
635,Coverage Cell,7.894736842105264
637,Coverage Cell,7.9298245614035086
