cellLongitude,cellLatitude
12.502176,41.900107
12.494487,41.896503
12.499596,41.897894
12.497208,41.898416
12.486526,41.88298
12.475045,41.834263
12.461764,41.871894
12.473024,41.89801
12.493074,41.891046
12.45542,41.873841
12.492646,41.893898
12.426546,41.897406
12.493326,41.892014
12.48013,41.892513
12.49373,41.895079
12.462485,41.869424
12.49745,41.898356
12.514916,41.874109
12.471436,41.871046
12.492845,41.87017
12.508455,41.886546
12.499551,41.900827
12.520617,41.876179
12.493153,41.891685
12.53101,41.867756
12.523792,41.87386
12.473001,41.855168
12.448635,41.863192
12.526105,41.876806
12.493747,41.895074
12.498911,41.891536
12.478186,41.872724
12.498973,41.900245
12.464296,41.871252
12.47305,41.898004
12.497852,41.899824
12.473067,41.898839
12.501702,41.888063
12.499834,41.895189
12.50428,41.8903
12.475001,41.896424
12.465303,41.865077
12.497913,41.900217
12.473143,41.8983
12.46443,41.871271
12.53118,41.867676
12.462353,41.871026
12.4942,41.890689
12.467476,41.830427
12.46471,41.865498
12.486781,41.883246
12.44528,41.875198
12.463643,41.871855
12.469537,41.863756
12.453575,41.873666
12.531478,41.87164
12.428461,41.89694
12.429603,41.894812
12.449757,41.873899
12.50567,41.889008
12.464254,41.871257
12.508309,41.886525
12.520602,41.876301
12.504958,41.842842
12.493271,41.894207
12.536522,41.864984
12.519181,41.876951
12.494399,41.893639
12.473654,41.898585
12.471007,41.87538
12.479307,41.858197
12.507769,41.886613
12.507148,41.896951
12.42896,41.898672
12.477867,41.858714
12.469364,41.897902
12.504576,41.887184
12.462646,41.868082
12.424312,41.902495
12.449623,41.871066
12.467835,41.830381
12.474253,41.845276
12.502089,41.900108
12.467131,41.870742
12.440184,41.898498
12.459236,41.876033
12.492744,41.89324
12.497483,41.89852
12.481681,41.873936
12.473588,41.842169
12.504046,41.89894
12.494219,41.893213
12.467531,41.869895
12.521268,41.87631
12.487133,41.883304
12.502871,41.890301
12.520684,41.877881
12.470755,41.837733
12.472239,41.863402
12.462804,41.900205
12.429054,41.898653
12.472971,41.855049
12.462393,41.868419
12.535614,41.866626
12.498472,41.899964
12.443527,41.89902
12.463527,41.871484
12.493833,41.894882
12.505638,41.898117
12.501134,41.900249
12.473163,41.898746
12.485569,41.852055
12.445175,41.900478
12.5257,41.882354
12.520717,41.87791
12.444747,41.900709
12.532631,41.860143
12.473062,41.899482
12.501944,41.900958
12.499867,41.895084
12.465073,41.900666
12.442626,41.877843
12.519268,41.87147
12.445337,41.874771
12.523023,41.874211
12.527307,41.852711
12.437997,41.895851
12.515989,41.892088
12.508696,41.886153
12.526728,41.871659
12.453096,41.870264
12.496058,41.868132
12.445188,41.901902
12.448857,41.87122
12.475708,41.834161
12.465062,41.90068
12.463813,41.824584
12.503178,41.889802
12.513037,41.846668
12.471773,41.855339
12.431107,41.895835
12.508908,41.885938
12.492613,41.872546
12.468988,41.829449
12.493513,41.894034
12.493752,41.895063
12.523617,41.855797
12.476427,41.852492
12.478738,41.870815
12.524938,41.872207
12.543056,41.862226
12.445092,41.901086
12.458484,41.872554
12.464981,41.826373
12.520502,41.876684
12.508205,41.886524
12.473524,41.844783
12.504319,41.858286
12.42581,41.901792
12.430657,41.898342
12.487249,41.896901
12.421203,41.90195
12.490303,41.898506
12.46726,41.827201
12.450803,41.900368
12.461256,41.886875
12.422574,41.902997
12.44155,41.877355
12.449774,41.873905
12.425375,41.902033
12.529021,41.869649
12.514587,41.873653
12.500637,41.852463
12.472942,41.899817
12.498047,41.856784
12.494533,41.856977
12.466324,41.861489
12.502382,41.859039
12.505184,41.865768
12.464419,41.871168
12.509158,41.885614
12.51341,41.841959
12.425954,41.901557
12.461111,41.886593
12.508526,41.886254
12.418621,41.899872
12.458974,41.847198
12.486522,41.847671
12.464176,41.902117
12.500486,41.90036
12.439945,41.898465
12.519968,41.877541
12.506559,41.887154
12.449853,41.871072
12.458474,41.872538
12.487617,41.896951
12.480207,41.873418
12.521701,41.879513
12.436227,41.897431
12.422888,41.902895
12.470144,41.83198
12.469597,41.865406
12.508143,41.898457
12.42895,41.898706
12.484756,41.864847
12.489482,41.871853
12.450824,41.900306
12.473253,41.898203
12.445917,41.901492
12.46148,41.888285
12.506715,41.875855
12.451815,41.898635
12.488265,41.883995
12.487586,41.896982
12.445553,41.901202
12.493512,41.856243
12.521477,41.89057
12.493712,41.849684
12.451712,41.899115
12.481512,41.877451
12.487107,41.852148
12.493037,41.893974
12.429552,41.898559
12.465186,41.900523
12.451818,41.899169
12.469281,41.897761
12.471646,41.843544
12.457639,41.870283
12.418942,41.899863
12.455299,41.870597
12.461268,41.845761
12.474154,41.848718
12.516843,41.855505
12.480032,41.872672
12.474963,41.896441
12.49647,41.872645
12.488178,41.883839
12.453608,41.899432
12.467046,41.899266
